iter	Logloss
133	0.2069703724
134	0.2058923292
135	0.2048647845
136	0.2038314853
137	0.2030389123
138	0.2022773079
139	0.20121438
140	0.2008355914
141	0.200138925
142	0.1990065893
143	0.197931606
144	0.1974094752
145	0.1965675995
146	0.1957216244
147	0.1950764839
148	0.1943909316
149	0.1938713544
150	0.193234865
151	0.1925783164
152	0.1921135196
153	0.1914117169
154	0.1906663698
155	0.1901485228
156	0.1894917165
157	0.188728952
158	0.188239556
159	0.187275728
160	0.1862413538
161	0.185317976
162	0.1842611518
163	0.1838268887
164	0.183192782
165	0.1826901291
166	0.1820006774
167	0.1813746576
168	0.1807888997
169	0.1802527878
170	0.1797441274
171	0.1793640436
172	0.1788023069
173	0.1780820868
174	0.1774238762
175	0.1766070101
176	0.1761455436
177	0.1754657796
178	0.1746180046
179	0.1741339951
180	0.1737661877
181	0.1731856077
182	0.1724940218
183	0.1719567318
184	0.1716092174
185	0.1711546673
186	0.1705655703
187	0.1702669215
188	0.1697747368
189	0.1693378811
190	0.168603778
191	0.1680724793
192	0.1676151991
193	0.1671714498
194	0.1665068193
195	0.1661503197
196	0.165688294
197	0.165118527
198	0.1644210262
199	0.1637622663
200	0.1633085153
201	0.1629490401
202	0.1624247877
203	0.1620438469
204	0.1618127546
205	0.1613924413
206	0.1609545178
207	0.1603703671
208	0.1601042726
209	0.1597798959
210	0.1594224405
211	0.1589500919
212	0.1586495297
213	0.1583970854
214	0.1580198167
215	0.1575744386
216	0.1570976356
217	0.1568225534
218	0.1563983058
219	0.1561129951
220	0.1557456959
221	0.1551713954
222	0.1548765402
223	0.1545215219
224	0.1543178266
225	0.1539126881
226	0.1536053108
227	0.1533333104
228	0.1530059923
229	0.152842931
230	0.1524678093
231	0.1520751727
232	0.1517138588
233	0.1514539887
234	0.1509325284
235	0.1506329844
236	0.1504275468
237	0.1499425591
238	0.1496500876
239	0.1493576642
240	0.1490582416
241	0.1486848666
242	0.1484720386
243	0.1480899217
244	0.1477135965
245	0.1473897561
246	0.1472417565
247	0.1469304161
248	0.1468047102
249	0.1466046407
250	0.146307796
251	0.146071682
252	0.1456657406
253	0.1454194138
254	0.1450128166
255	0.1446405079
256	0.1441895919
257	0.1440141739
258	0.1437422641
259	0.1433165356
260	0.1431965834
261	0.1430049634
262	0.1428583533
263	0.1425574711
264	0.1421858853
265	0.1420111416
266	0.1417008303
267	0.1413055454
268	0.1411101707
269	0.1407818246
270	0.1404327094
271	0.1403302393
272	0.1401601235
273	0.139921182
274	0.1398308117
275	0.139651802
276	0.1392911327
277	0.1391565016
278	0.1390366342
279	0.1387120361
280	0.138603046
281	0.1383969563
282	0.1381945457
283	0.1379006812
284	0.1377487926
285	0.1374787417
286	0.1373338362
287	0.1370067891
288	0.1367126538
289	0.1363281748
290	0.1362517453
291	0.1360747482
292	0.1358158545
293	0.1356744149
294	0.1353835576
295	0.135128281
296	0.1348990713
297	0.1346269864
298	0.1344034045
299	0.1342279196
300	0.1339316863
301	0.1337178379
302	0.1334495566
303	0.1332949077
304	0.1331880733
305	0.1330668097
306	0.1329082131
307	0.1327588703
308	0.1325389156
309	0.132355508
310	0.1320676552
311	0.1318092013
312	0.1314409604
313	0.1312051997
314	0.1310757474
315	0.1308838233
316	0.1306789971
317	0.1305394506
318	0.1303899521
319	0.1300629623
320	0.1299255285
321	0.1296999657
322	0.1294940487
323	0.1293874178
324	0.1291622208
325	0.1290728157
326	0.1288688117
327	0.128728509
328	0.1285678779
329	0.1283998233
330	0.1281456294
331	0.1280444392
332	0.1279654968
333	0.1278879581
334	0.1277680691
335	0.1275594145
336	0.1274317804
337	0.1273019838
338	0.1272150131
339	0.1268117854
340	0.1266037578
341	0.1264009452
342	0.1262917667
343	0.1260918149
344	0.125949086
345	0.1258145167
346	0.1257427799
347	0.1256499753
348	0.125474068
349	0.1253619468
350	0.12525439
351	0.1251656701
352	0.1249480974
353	0.1248328466
354	0.1247232149
355	0.1244582823
356	0.1242612036
357	0.1241820451
358	0.1240816309
359	0.1240220559
360	0.1239389422
361	0.1238787515
362	0.123709448
363	0.1236260241
364	0.1235449995
365	0.1234465284
366	0.1231210654
367	0.1230629508
368	0.1229344377
369	0.122651282
370	0.1225266883
371	0.1224627733
372	0.1223165854
373	0.1221893374
374	0.1220839697
375	0.1218941019
376	0.1218026346
377	0.1217033528
378	0.1215373273
379	0.1214306751
380	0.1213063566
381	0.1210934251
382	0.1209880164
383	0.1208407927
384	0.1208031885
385	0.1206983209
386	0.1206324869
387	0.1204910993
388	0.1203771159
389	0.1203033075
390	0.1202175813
391	0.120131712
392	0.1200500181
393	0.1199903198
394	0.1197843687
395	0.1196002173
396	0.1195433285
397	0.1194727728
398	0.1193893296
399	0.1192441339
400	0.1191651691
401	0.1190713659
402	0.1190018942
403	0.1188996148
404	0.1187593108
405	0.1186674038
406	0.1185569314
407	0.1185012065
408	0.1184354221
409	0.1183820525
410	0.1182467605
411	0.1180597457
412	0.1178430383
413	0.1176978259
414	0.1176036594
415	0.1173625899
416	0.1172810174
417	0.1171376905
418	0.1169065978
419	0.1168068997
420	0.1167376622
421	0.1166344732
422	0.1165492524
423	0.1165088513
424	0.1164130252
425	0.1163524016
426	0.1162915796
427	0.1161950522
428	0.1161157434
429	0.1160783139
430	0.1159960043
431	0.115872939
432	0.1158133459
433	0.1156420265
434	0.1155395682
435	0.1154485126
436	0.115305229
437	0.1152358616
438	0.1151899447
439	0.1149905907
440	0.114915302
441	0.1148576944
442	0.1147611417
443	0.1146663212
444	0.1146139296
445	0.1145508085
446	0.114449923
447	0.1142935186
448	0.1140459606
449	0.1138848774
450	0.1137783726
451	0.1137092687
452	0.1136759417
453	0.113595078
454	0.1135439941
455	0.1134448393
456	0.1134069786
457	0.1133468639
458	0.1132699335
459	0.1131622029
460	0.1130888127
461	0.1130341851
462	0.1129398268
463	0.11271577
464	0.1126606672
465	0.112625308
466	0.1124734938
467	0.112312001
468	0.1122221942
469	0.1121249296
470	0.1120673067
471	0.1119598291
472	0.111891173
473	0.1117475368
474	0.111703902
475	0.1115540134
476	0.1114927659
477	0.1113672615
478	0.1112502553
479	0.1111543235
480	0.1110659378
481	0.1110292753
482	0.1109255773
483	0.1108544249
484	0.1107716314
485	0.1107114969
486	0.1106342136
487	0.110595893
488	0.1105297074
489	0.1104355263
490	0.1103742037
491	0.1102407654
492	0.1101941325
493	0.1101321188
494	0.1100804753
495	0.1100397959
496	0.1099362725
497	0.1098543721
498	0.1098000562
499	0.1097463266
500	0.1096606279
501	0.1096200176
502	0.1095793784
503	0.1095750537
504	0.1094424252
505	0.1093397808
506	0.1092688919
507	0.1091741906
508	0.1090841256
509	0.1089854112
510	0.108891166
511	0.1088680925
512	0.1088086085
513	0.108735322
514	0.1087164754
515	0.1086693966
516	0.1085776874
517	0.1085065382
518	0.1083599028
519	0.108315895
520	0.1082143565
521	0.1081834331
522	0.108063691
523	0.1080479239
524	0.1079605875
525	0.1079145523
526	0.1078798799
527	0.1077788849
528	0.1077082416
529	0.1076548767
530	0.1075044454
531	0.1074092357
532	0.1073704342
533	0.1073087233
534	0.10724127
535	0.1071350966
536	0.1070910878
537	0.1070181898
538	0.1069007112
539	0.1068005996
540	0.1067642631
541	0.1067276437
542	0.1066607188
543	0.1065764693
544	0.1065389378
545	0.10635427
546	0.1062397283
547	0.1061110378
548	0.1060661852
549	0.1060497069
550	0.1060054704
551	0.1059115422
552	0.1058583697
553	0.1058303557
554	0.105775868
555	0.1057235852
556	0.1056770114
557	0.105628544
558	0.1055861269
559	0.1055268966
560	0.105496451
561	0.1054137507
562	0.1053440211
563	0.1053158377
564	0.1052656499
565	0.1051606048
566	0.1051211318
567	0.1050424087
568	0.104998999
569	0.1049730634
570	0.1049088842
571	0.1048717218
572	0.1048069153
573	0.1047399195
574	0.1046785217
575	0.1046298232
576	0.1045801984
577	0.1045431715
578	0.104479405
579	0.1044131334
580	0.1042950152
581	0.1042776858
582	0.1041682257
583	0.1040967505
584	0.1040549517
585	0.1039412645
586	0.1038966931
587	0.1038596933
588	0.1037064711
589	0.1036623734
590	0.1036096892
591	0.1035843218
592	0.1035473644
593	0.1034944447
594	0.1034207413
595	0.1033881058
596	0.1033529648
597	0.1033257156
598	0.1032890866
599	0.1032600952
600	0.1032243434
601	0.1031745177
602	0.1031531028
603	0.1031032728
604	0.103071846
605	0.1030155207
606	0.1029512543
607	0.1029373874
608	0.1028777976
609	0.1027671216
610	0.1027295988
611	0.1027109475
612	0.1026686132
613	0.1025987733
614	0.1025051893
615	0.1024137223
616	0.1023692231
617	0.1023263267
618	0.1022483624
619	0.1022084768
620	0.1021452973
621	0.1020958686
622	0.1020671317
623	0.1020356771
624	0.101987864
625	0.1019088311
626	0.1018758595
627	0.101700659
628	0.1016418676
629	0.1016037862
630	0.1015009079
631	0.1014507546
632	0.1014166285
633	0.1013719906
634	0.1013463244
635	0.1012806959
636	0.1012463979
637	0.1011946274
638	0.1011227252
639	0.1010110898
640	0.1009164698
641	0.1008789949
642	0.1008407287
643	0.1007819023
644	0.100733393
645	0.1006510262
646	0.1006164386
647	0.1005589613
648	0.1004634764
649	0.1004364657
650	0.1003881214
651	0.1003675855
652	0.1003086248
653	0.100286693
654	0.10024986
655	0.1002319531
656	0.1001231618
657	0.1000826382
658	0.1000411474
659	0.09999409957
660	0.09995257998
661	0.09991677084
662	0.09987573705
663	0.09985746269
664	0.09983026855
665	0.09978718621
666	0.09974191827
667	0.09970889549
668	0.09965623823
669	0.0996353477
670	0.09956904041
671	0.09952050157
672	0.09949907845
673	0.09945971239
674	0.09942531323
675	0.0993894668
676	0.09936200134
677	0.09929167425
678	0.09924239702
679	0.09919527999
680	0.09914861365
681	0.09912660131
682	0.09906543143
683	0.0989665667
684	0.09893921506
685	0.09892121654
686	0.09885819587
687	0.09879961825
688	0.09876994459
689	0.09873155423
690	0.09868968454
691	0.09861709582
692	0.09856825774
693	0.09852792507
694	0.09849750416
695	0.0984570121
696	0.09839922436
697	0.09833067454
698	0.09829430481
699	0.09824472393
700	0.09822043945
701	0.09809098343
702	0.09798907818
703	0.09786777749
704	0.09784199125
705	0.09782824188
706	0.09779906296
707	0.09775255807
708	0.09771343574
709	0.09767617902
710	0.09761562787
711	0.09757540911
712	0.0975347314
713	0.0974850274
714	0.09740569674
715	0.09729798244
716	0.09726828612
717	0.09725222887
718	0.09720297531
719	0.09718148325
720	0.09713192328
721	0.09711343223
722	0.09705886296
723	0.09702042847
724	0.0969821996
725	0.0969598743
726	0.09689346414
727	0.0968632815
728	0.09682802353
729	0.09677376539
730	0.09674458004
731	0.09668805624
732	0.09662189223
733	0.09654325951
734	0.0965098005
735	0.09646507695
736	0.09643393063
737	0.09640938674
738	0.09637668326
739	0.0963547334
740	0.0963160902
741	0.09625278026
742	0.09622442012
743	0.09620503248
744	0.09614597436
745	0.09602922175
746	0.09599079365
747	0.09594264259
748	0.09591482671
749	0.09581281913
750	0.0957728033
751	0.09573009135
752	0.09571803004
753	0.0956944827
754	0.09562720209
755	0.09560324348
756	0.0955524895
757	0.09554249793
758	0.09550552009
759	0.09546468041
760	0.09544830179
761	0.09542398702
762	0.09539222349
763	0.09536676819
764	0.0952954337
765	0.09525437985
766	0.09522238243
767	0.09515479317
768	0.09512870669
769	0.09509556604
770	0.09503524169
771	0.09497790546
772	0.09494577993
773	0.09490784742
774	0.09490296056
775	0.09487254766
776	0.09482077489
777	0.09479221264
778	0.09475966337
779	0.09474413802
780	0.09464563524
781	0.09460183338
782	0.0945840115
783	0.09452794381
784	0.0944742607
785	0.09445161986
786	0.09441683733
787	0.0943436235
788	0.09431232003
789	0.0942698816
790	0.09424116787
791	0.09419934954
792	0.09417351132
793	0.09414587591
794	0.094115411
795	0.09403163752
796	0.09401059868
797	0.09396552388
798	0.09392833895
799	0.09389837627
800	0.09384595601
801	0.09380716021
802	0.09376038055
803	0.09370629181
804	0.09365796051
805	0.09363041137
806	0.09355636114
807	0.09353224694
808	0.09343531992
809	0.09340116939
810	0.0933630475
811	0.09330133854
812	0.09322003293
813	0.09318444835
814	0.09314188946
815	0.09313135971
816	0.09309276172
817	0.09304383531
818	0.09300485384
819	0.09296000887
820	0.09292211781
821	0.09287318363
822	0.09284012627
823	0.09283617906
824	0.09282349849
825	0.09279237405
826	0.09278205109
827	0.09270836274
828	0.09269029602
829	0.09266835271
830	0.09263849943
831	0.09255901102
832	0.09249126188
833	0.09245209433
834	0.09242672692
835	0.09241347262
836	0.09239824969
837	0.09236665129
838	0.09233984692
839	0.0923195344
840	0.09222414351
841	0.09219490311
842	0.09218110777
843	0.0921541174
844	0.09211229652
845	0.09208618462
846	0.09207019333
847	0.09206240632
848	0.09203278277
849	0.09201440448
850	0.09198117518
851	0.09195546486
852	0.09191202424
853	0.09185842973
854	0.0918288451
855	0.09181145996
856	0.09178612343
857	0.09173371925
858	0.09171490398
859	0.09166088529
860	0.09164435479
861	0.09161845851
862	0.0915779435
863	0.09155445304
864	0.09151955476
865	0.09142115029
866	0.09140876432
867	0.09132341989
868	0.09130498565
869	0.09127805517
870	0.09123356883
871	0.09120427014
872	0.09117740775
873	0.09116185485
874	0.09113712223
875	0.09111818355
876	0.09106588653
877	0.09096403535
878	0.09093659924
879	0.09090438735
880	0.09087657747
881	0.09084576807
882	0.09072264528
883	0.09070701339
884	0.09067518898
885	0.09064585748
886	0.09059324027
887	0.09056639984
888	0.09054332733
889	0.09050753118
890	0.0904691023
891	0.09044569007
892	0.09041897501
893	0.09040132685
894	0.09035535927
895	0.09033265627
896	0.09025633812
897	0.09023473911
898	0.09015098643
899	0.09011945755
900	0.09008045417
901	0.09004812433
902	0.0900245357
903	0.08999412255
904	0.08996798134
905	0.08993549258
906	0.08991275624
907	0.08989881985
908	0.08984856207
909	0.08983641052
910	0.08979409993
911	0.08974328076
912	0.0897166195
913	0.08967618578
914	0.08964424655
915	0.08962032094
916	0.08958208387
917	0.08952210674
918	0.08950638544
919	0.08946159641
920	0.08941300156
921	0.08939207239
922	0.08936842953
923	0.08932348675
924	0.08929459068
925	0.08927765551
926	0.08925739253
927	0.08922402066
928	0.08919072972
929	0.0891575023
930	0.08914076647
931	0.08906678695
932	0.08901916582
933	0.08898708539
934	0.08896303835
935	0.08893309423
936	0.08890325514
937	0.08888977149
938	0.08887421349
939	0.08883313657
940	0.0888027352
941	0.08875605117
942	0.0887336955
943	0.0886917889
944	0.08867786163
945	0.08865887612
946	0.08864135512
947	0.08860247195
948	0.08858003802
949	0.08853747421
950	0.08851038258
951	0.08847349306
952	0.08843956549
953	0.08840528684
954	0.08836910526
955	0.08832450841
956	0.08830807223
957	0.08827593911
958	0.08824993277
959	0.08822544997
960	0.08820900064
961	0.08817292575
962	0.08813319399
963	0.08811123097
964	0.088092669
965	0.08806366754
966	0.08798480954
967	0.0879429662
968	0.08791665429
969	0.08788024856
970	0.08784796715
971	0.08780817075
972	0.0877894342
973	0.08775758339
974	0.08766916425
975	0.08765639237
976	0.08761216956
977	0.0875802512
978	0.0875185552
979	0.08750725067
980	0.08747557302
981	0.08743904686
982	0.08742474646
983	0.08738898803
984	0.08735560717
985	0.08732485176
986	0.08729471707
987	0.08726516153
988	0.08725227403
989	0.08722605582
990	0.08721058073
991	0.08717561349
992	0.08714486294
993	0.08711142569
994	0.08709837184
995	0.08704720256
996	0.0870248454
997	0.08698776848
998	0.0869504289
999	0.08693803586
